PhraseId,Sentiment
156061,2
156062,2
156063,3
156064,2
156065,2
156066,3
156067,3
156068,2
156069,3
156070,2
156071,2
156072,2
156073,1
156074,2
156075,0
156076,1
156077,1
156078,2
156079,2
156080,1
156081,3
156082,4
156083,2
156084,1
156085,2
156086,1
156087,2
156088,2
156089,2
156090,4
156091,2
156092,2
156093,3
156094,3
156095,2
156096,3
156097,4
156098,4
156099,0
156100,4
156101,2
156102,4
156103,4
156104,2
156105,1
156106,2
156107,3
156108,2
156109,2
156110,2
156111,2
156112,1
156113,2
156114,2
156115,2
156116,2
156117,0
156118,2
156119,2
156120,1
156121,2
156122,0
156123,2
156124,1
156125,2
156126,4
156127,3
156128,2
156129,1
156130,2
156131,2
156132,2
156133,2
156134,2
156135,3
156136,2
156137,2
156138,2
156139,1
156140,1
156141,1
156142,1
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,0
156151,2
156152,2
156153,2
156154,3
156155,2
156156,2
156157,2
156158,2
156159,3
156160,2
156161,2
156162,0
156163,2
156164,2
156165,3
156166,3
156167,4
156168,3
156169,2
156170,2
156171,3
156172,3
156173,1
156174,3
156175,3
156176,3
156177,3
156178,2
156179,4
156180,2
156181,2
156182,4
156183,2
156184,0
156185,2
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,4
156194,2
156195,2
156196,2
156197,2
156198,2
156199,0
156200,2
156201,2
156202,3
156203,2
156204,2
156205,3
156206,3
156207,2
156208,0
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,0
156216,2
156217,2
156218,0
156219,3
156220,2
156221,3
156222,3
156223,1
156224,1
156225,1
156226,1
156227,2
156228,1
156229,2
156230,2
156231,2
156232,1
156233,2
156234,2
156235,2
156236,4
156237,1
156238,4
156239,4
156240,3
156241,4
156242,4
156243,3
156244,3
156245,3
156246,3
156247,4
156248,4
156249,3
156250,1
156251,2
156252,1
156253,1
156254,2
156255,1
156256,2
156257,2
156258,2
156259,3
156260,2
156261,2
156262,2
156263,2
156264,3
156265,0
156266,3
156267,3
156268,3
156269,1
156270,1
156271,0
156272,3
156273,2
156274,3
156275,3
156276,3
156277,3
156278,4
156279,4
156280,4
156281,3
156282,3
156283,4
156284,2
156285,2
156286,3
156287,3
156288,3
156289,4
156290,2
156291,2
156292,2
156293,2
156294,2
156295,2
156296,2
156297,1
156298,2
156299,3
156300,2
156301,2
156302,2
156303,4
156304,1
156305,2
156306,1
156307,2
156308,4
156309,2
156310,1
156311,2
156312,1
156313,1
156314,2
156315,2
156316,2
156317,2
156318,2
156319,0
156320,0
156321,0
156322,0
156323,0
156324,3
156325,3
156326,2
156327,1
156328,3
156329,3
156330,2
156331,2
156332,2
156333,3
156334,2
156335,2
156336,2
156337,2
156338,3
156339,3
156340,0
156341,2
156342,2
156343,2
156344,2
156345,3
156346,3
156347,2
156348,3
156349,3
156350,2
156351,3
156352,3
156353,3
156354,1
156355,3
156356,3
156357,2
156358,3
156359,1
156360,3
156361,2
